cart_dose,sp_value,response,t9,t12,t15,t18,t21,t_final_30
0.04,0.3631,PR,135.7984,89.35067,63.47083,47.35112,35.84255,15.8087
0.04,0.37321,PR,142.3956,94.91544,66.77651,49.66855,37.56304,16.5588
0.04,0.38333,PR,148.152,102.5318,71.26233,52.80069,39.88528,17.5702
0.04,0.39345,PR,151.7927,113.5176,77.65086,57.23317,43.16483,18.9967
0.04,0.40357,PR,153.1298,130.6565,87.44835,63.96316,48.12797,21.1513
0.04,0.41369,PR,153.2799,160.9641,104.5087,75.48793,56.58003,24.8088
0.04,0.42381,PR,153.1816,223.8616,143.2856,100.8559,74.97673,32.7214
0.04,0.43393,NR,153.0438,266.6481,373.017,249.2633,177.9363,76.0613
0.04,0.44405,NR,152.88982,267.02858,458.91413,770.13878,1241.0009,3361.023
0.04,0.45417,NR,152.72738,266.9636,459.55586,772.22038,1244.9843,3367.3265
0.04,0.46429,NR,152.56056,266.77309,459.4927,772.34313,1245.1591,3366.5181
0.04,0.4744,NR,152.3906,266.52497,459.15107,771.75237,1244.0028,3363.3636
0.04,0.48452,NR,152.21799,266.24826,458.67679,770.82356,1242.2221,3359.1112
0.04,0.49464,NR,152.04232,265.95922,458.13808,769.72964,1240.1309,3354.2884
0.04,0.50476,NR,151.86239,265.66726,457.57935,768.57203,1237.9113,3349.195
0.04,0.51488,NR,151.67611,265.37849,457.03129,767.42463,1235.6937,3344.0474
0.04,0.525,NR,151.47898,265.09461,456.519,766.3523,1233.5957,3339.0409
0.04,0.53512,NR,151.26686,264.81417,456.07326,765.4409,1231.7767,3334.4531
0.04,0.54524,NR,151.03801,264.52178,455.7307,764.82896,1230.52,3330.8228
0.04,0.55536,NR,150.79693,264.1551,455.47943,764.7626,1230.5125,3329.7531
0.04,0.56548,NR,150.54998,263.63028,454.70103,763.75345,1229.0775,3326.4431
0.04,0.5756,NR,150.29768,263.00632,453.37251,761.16218,1224.5595,3317.7788
0.04,0.58571,NR,150.04304,262.35878,451.94575,758.34291,1219.6592,3308.4989
0.04,0.59583,NR,149.78713,261.70076,450.4851,755.45698,1214.6467,3298.9865
0.04,0.60595,NR,149.5303,261.03737,449.00793,752.53825,1209.5771,3289.3164
0.04,0.61607,NR,149.27292,260.37041,447.52157,749.60026,1204.4715,3279.5138
0.04,0.62619,NR,149.01508,259.70099,446.02847,746.64914,1199.3386,3269.5912
0.04,0.63631,NR,148.75685,259.03031,444.5311,743.68819,1194.1836,3259.5584
0.04,0.64643,NR,148.49834,258.35785,443.03059,740.71824,1189.0085,3249.4105
0.04,0.65655,NR,148.23964,257.68429,441.5263,737.74146,1183.8156,3239.1502
0.04,0.66667,NR,147.98062,257.01008,440.02045,734.75813,1178.6057,3228.7791
0.04,0.67679,NR,147.72138,256.33464,438.51163,731.76886,1173.3798,3218.2947
0.04,0.6869,NR,147.4619,255.6587,437.00147,728.77353,1168.1375,3207.6937
0.04,0.69702,NR,147.20238,254.98198,435.48862,725.77323,1162.8801,3196.9862
0.04,0.70714,NR,146.9426,254.30447,433.97471,722.76716,1157.6073,3186.1481
0.04,0.71726,NR,146.68258,253.62695,432.45898,719.75677,1152.3198,3175.1981
0.04,0.72738,NR,146.42245,252.94839,430.94131,716.74108,1147.0175,3164.1311
0.04,0.7375,NR,146.16233,252.26935,429.42266,713.72029,1141.7002,3152.9401
